  Time                 , V(U3:OUT)            
  5.285588116837e-02  ,1.287858576742e-01  
  5.295588116837e-02  ,1.267380283205e-01  
  5.305588116837e-02  ,1.241900331918e-01  
  5.315588116837e-02  ,1.211519280538e-01  
  5.325588116837e-02  ,1.176357029342e-01  
  5.335588116837e-02  ,1.136552347505e-01  
  5.345588116837e-02  ,1.092262326053e-01  
  5.355588116837e-02  ,1.043661757371e-01  
  5.365588116837e-02  ,9.909424459332e-02  
  5.375588116837e-02  ,9.343124504595e-02  
  5.385588116837e-02  ,8.739952637969e-02  
  5.395588116837e-02  ,8.102289303612e-02  
  5.405588116837e-02  ,7.432651068455e-02  
  5.415588116837e-02  ,6.733680689172e-02  
  5.425588116837e-02  ,6.008136676219e-02  
  5.435588116837e-02  ,5.258882430949e-02  
  5.445588116837e-02  ,4.488874909319e-02  
  5.455588116837e-02  ,3.701152980663e-02  
  5.465588116837e-02  ,2.898825424499e-02  
  5.475588116837e-02  ,2.085058660904e-02  
  5.485588116837e-02  ,1.263064253443e-02  
  5.495588116837e-02  ,4.360862429139e-03  
  5.505588116837e-02  ,-3.926116671225e-03  
  5.515588116837e-02  ,-1.219758989022e-02  
  5.525588116837e-02  ,-2.042091344793e-02  
  5.535588116837e-02  ,-2.856363368536e-02  
  5.545588116837e-02  ,-3.659361498017e-02  
  5.555588116837e-02  ,-4.447916666731e-02  
  5.565588116837e-02  ,-5.218916808233e-02  
  5.575588116837e-02  ,-5.969319139098e-02  
  5.585588116837e-02  ,-6.696162160203e-02  
  5.595588116837e-02  ,-7.396577357198e-02  
  5.605588116837e-02  ,-8.067800509728e-02  
  5.615588116837e-02  ,-8.707182608404e-02  
  5.625588116837e-02  ,-9.312200301522e-02  
  5.635588116837e-02  ,-9.880465863633e-02  
  5.645588116837e-02  ,-1.040973660737e-01  
  5.655588116837e-02  ,-1.089792374554e-01  
  5.665588116837e-02  ,-1.134310062566e-01  
  5.675588116837e-02  ,-1.174351033694e-01  
  5.685588116837e-02  ,-1.209757264344e-01  
  5.695588116837e-02  ,-1.240389022923e-01  
  5.705588116837e-02  ,-1.266125419357e-01  
  5.715588116837e-02  ,-1.286864883958e-01  
  5.725588116837e-02  ,-1.302525567473e-01  
  5.735588116837e-02  ,-1.313045664384e-01  
  5.745588116837e-02  ,-1.318383656831e-01  
  5.755588116837e-02  ,-1.318518478034e-01  
  5.765588116837e-02  ,-1.313449595990e-01  
  5.775588116837e-02  ,-1.303197015369e-01  
  5.785588116837e-02  ,-1.287801197970e-01  
  5.795588116837e-02  ,-1.267322904665e-01  
  5.805588116837e-02  ,-1.241842953528e-01  
  5.815588116837e-02  ,-1.211461902270e-01  
  5.825588116837e-02  ,-1.176299651070e-01  
  5.835588116837e-02  ,-1.136494969573e-01  
  5.845588116837e-02  ,-1.092204947999e-01  
  5.855588116837e-02  ,-1.043604379826e-01  
  5.865588116837e-02  ,-9.908850683536e-02  
  5.875588116837e-02  ,-9.342550730160e-02  
  5.885588116837e-02  ,-8.739378867853e-02  
  5.895588116837e-02  ,-8.101715533618e-02  
  5.905588116837e-02  ,-7.432077299382e-02  
  5.915588116837e-02  ,-6.733106914905e-02  
  5.925588116837e-02  ,-6.007562906722e-02  
  5.935588116837e-02  ,-5.258308654700e-02  
  5.945588116837e-02  ,-4.488301129772e-02  
  5.955588116837e-02  ,-3.700579201587e-02  
  5.965588116837e-02  ,-2.898251644106e-02  
  5.975588116837e-02  ,-2.084484879167e-02  
  5.985588116837e-02  ,-1.262490471782e-02  
  5.995588116837e-02  ,-4.355124597825e-03  
  6.005588116837e-02  ,3.931854532884e-03  
  6.015588116837e-02  ,1.220332774911e-02  
  6.025588116837e-02  ,2.042665133430e-02  
  6.035588116837e-02  ,2.856937158120e-02  
  6.045588116837e-02  ,3.659935288596e-02  
  6.055588116837e-02  ,4.448490458285e-02  
  6.065588116837e-02  ,5.219490602677e-02  
  6.075588116837e-02  ,5.969892933138e-02  
  6.085588116837e-02  ,6.696735956570e-02  
  6.095588116837e-02  ,7.397151153688e-02  
  6.105588116837e-02  ,8.068374309257e-02  
  6.115588116837e-02  ,8.707756407433e-02  
  6.125588116837e-02  ,9.312774100436e-02  
  6.135588116837e-02  ,9.881039662479e-02  
  6.145588116837e-02  ,1.041031040867e-01  
  6.155588116837e-02  ,1.089849754470e-01  
  6.165588116837e-02  ,1.134367442375e-01  
  6.175588116837e-02  ,1.174408413337e-01  
  6.185588116837e-02  ,1.209814644233e-01  
  6.195588116837e-02  ,1.240446402539e-01  
  6.205588116837e-02  ,1.266182798863e-01  
  6.215588116837e-02  ,1.286922263423e-01  
  6.225588116837e-02  ,1.302582946889e-01  
  6.235588116837e-02  ,1.313103043912e-01  
  6.245588116837e-02  ,1.318441036246e-01  
  6.255588116837e-02  ,1.318575857205e-01  
  6.265588116837e-02  ,1.313506975162e-01  
  6.275588116837e-02  ,1.303254394242e-01  
